Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
101a,,,,,,-114.01151358,46.67871782,1132.118,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
102a,,,,,,-114.01144104,46.67871593,1133.164,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
103a,,,,,,-114.01136849,46.67871403,1134.479,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
104a,,,,,,-114.01129595,46.67871213,1135.638,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
105a,,,,,,-114.0112234,46.67871024,1136.868,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
108a,,,,,,-114.01100577,46.67870455,1140.173,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
111a,,,,,,-114.01151082,46.67876775,1132.003,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
112a,,,,,,-114.01143828,46.67876586,1133.126,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
114a,,,,,,-114.01129319,46.67876206,1135.646,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
115a,,,,,,-114.01122065,46.67876017,1136.672,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
116a,,,,,,-114.0111481,46.67875827,1137.579,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
117a,,,,,,-114.01107556,46.67875637,1138.46,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
118a,,,,,,-114.01100302,46.67875448,1139.854,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
119a,,,,,,-114.01093047,46.67875258,1140.983,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
120a,,,,,,-114.01085793,46.67875068,1142.257,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
122a,,,,,,-114.01143552,46.67881579,1133.209,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
123a,,,,,,-114.01136298,46.67881389,1134.267,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
124a,,,,,,-114.01129044,46.67881199,1135.422,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
125a,,,,,,-114.01121789,46.6788101,1136.443,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
126a,,,,,,-114.01114535,46.6788082,1137.451,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
127a,,,,,,-114.0110728,46.6788063,1138.397,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
128a,,,,,,-114.01100026,46.67880441,1139.47,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
129a,,,,,,-114.01092772,46.67880251,1140.885,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
130a,,,,,,-114.01085517,46.67880061,1142.045,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
131a,,,,,,-114.01150531,46.67886761,1132.003,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
132a,,,,,,-114.01143277,46.67886572,1133.146,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
133a,,,,,,-114.01136023,46.67886382,1134.231,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
134a,,,,,,-114.01128768,46.67886192,1135.166,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
135a,,,,,,-114.01121514,46.67886003,1136.299,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
136a,,,,,,-114.01114259,46.67885813,1137.244,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
137a,,,,,,-114.01107005,46.67885623,1138.21,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
138a,,,,,,-114.0109975,46.67885434,1139.224,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
139a,,,,,,-114.01092496,46.67885244,1140.711,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
140a,,,,,,-114.01085242,46.67885054,1142.021,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
141a,,,,,,-114.01150256,46.67891754,1132.095,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
142a,,,,,,-114.01143001,46.67891565,1133.111,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
143a,,,,,,-114.01135747,46.67891375,1134.189,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
144a,,,,,,-114.01128493,46.67891185,1135.035,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
145a,,,,,,-114.01121238,46.67890996,1136.088,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
146a,,,,,,-114.01113984,46.67890806,1137.173,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
147a,,,,,,-114.01106729,46.67890616,1138.025,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
148a,,,,,,-114.01099475,46.67890427,1139.208,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
149a,,,,,,-114.0109222,46.67890237,1140.4,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
150a,,,,,,-114.01084966,46.67890047,1141.803,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
151a,,,,,,-114.0114998,46.67896747,1132.021,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
152a,,,,,,-114.01142726,46.67896557,1133.19,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
153a,,,,,,-114.01135471,46.67896368,1134.065,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
154a,,,,,,-114.01128217,46.67896178,1135.082,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
155a,,,,,,-114.01120963,46.67895989,1135.961,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
157a,,,,,,-114.01106454,46.67895609,1137.949,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
158a,,,,,,-114.01099199,46.6789542,1139.001,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
160a,,,,,,-114.0108469,46.6789504,1141.552,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
161a,,,,,,-114.01149705,46.6790174,1131.947,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
162a,,,,,,-114.0114245,46.6790155,1133.105,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
163a,,,,,,-114.01135196,46.67901361,1134.01,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
164a,,,,,,-114.01127941,46.67901171,1134.977,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
165a,,,,,,-114.01120687,46.67900981,1135.994,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
166a,,,,,,-114.01113433,46.67900792,1136.931,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
167a,,,,,,-114.01106178,46.67900602,1137.927,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
168a,,,,,,-114.01098924,46.67900412,1138.848,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
170a,,,,,,-114.01084415,46.67900033,1141.369,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
171a,,,,,,-114.01149429,46.67906733,1132.019,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
172a,,,,,,-114.01142175,46.67906543,1133.058,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
173a,,,,,,-114.0113492,46.67906354,1134.043,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
174a,,,,,,-114.01127666,46.67906164,1134.909,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
176a,,,,,,-114.01113157,46.67905785,1136.811,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
177a,,,,,,-114.01105903,46.67905595,1137.882,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
178a,,,,,,-114.01098648,46.67905405,1138.955,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
181a,,,,,,-114.01149154,46.67911726,1131.932,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
182a,,,,,,-114.01141899,46.67911536,1132.984,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
183a,,,,,,-114.01134645,46.67911347,1133.964,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
184a,,,,,,-114.0112739,46.67911157,1134.958,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
185a,,,,,,-114.01120136,46.67910967,1135.734,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
186a,,,,,,-114.01112881,46.67910778,1136.829,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
187a,,,,,,-114.01105627,46.67910588,1137.779,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
188a,,,,,,-114.01098373,46.67910398,1138.882,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
189a,,,,,,-114.01091118,46.67910209,1139.949,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
190a,,,,,,-114.01083864,46.67910019,1141.186,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
191a,,,,,,-114.01148878,46.67916719,1131.838,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
192a,,,,,,-114.01141624,46.67916529,1133.015,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
193a,,,,,,-114.01134369,46.6791634,1133.888,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
194a,,,,,,-114.01127115,46.6791615,1134.821,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
196a,,,,,,-114.01112606,46.67915771,1136.797,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
197a,,,,,,-114.01105351,46.67915581,1137.815,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
198a,,,,,,-114.01098097,46.67915391,1138.784,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
200a,,,,,,-114.01083588,46.67915012,1141.074,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
301a,,,,,,-114.01105909,46.67510583,1125.53,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
303a,,,,,,-114.01091401,46.67510204,1126.953,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
304a,,,,,,-114.01084147,46.67510014,1127.728,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
305a,,,,,,-114.01076893,46.67509825,1128.524,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
306a,,,,,,-114.01069639,46.67509635,1129.264,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
307a,,,,,,-114.01062386,46.67509445,1130.098,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
309a,,,,,,-114.01047878,46.67509066,1131.864,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
310a,,,,,,-114.01040624,46.67508876,1132.734,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
311a,,,,,,-114.01105633,46.67515576,1125.477,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
312a,,,,,,-114.0109838,46.67515387,1126.252,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
314a,,,,,,-114.01083872,46.67515007,1127.607,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
315a,,,,,,-114.01076618,46.67514818,1128.531,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
316a,,,,,,-114.01069364,46.67514628,1129.213,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
318a,,,,,,-114.01054856,46.67514249,1130.921,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
319a,,,,,,-114.01047602,46.67514059,1131.849,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
320a,,,,,,-114.01040348,46.67513869,1132.662,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
321a,,,,,,-114.01105358,46.67520569,1125.471,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
323a,,,,,,-114.0109085,46.6752019,1126.984,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
324a,,,,,,-114.01083596,46.6752,1127.624,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
325a,,,,,,-114.01076342,46.67519811,1128.414,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
326a,,,,,,-114.01069088,46.67519621,1129.089,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
327a,,,,,,-114.01061834,46.67519431,1129.966,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
328a,,,,,,-114.01054581,46.67519242,1130.841,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
329a,,,,,,-114.01047327,46.67519052,1131.645,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
330a,,,,,,-114.01040073,46.67518862,1132.59,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
331a,,,,,,-114.01105082,46.67525562,1125.148,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
333a,,,,,,-114.01090575,46.67525183,1126.887,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
334a,,,,,,-114.01083321,46.67524993,1127.66,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
335a,,,,,,-114.01076067,46.67524803,1128.324,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
336a,,,,,,-114.01068813,46.67524614,1129.142,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
337a,,,,,,-114.01061559,46.67524424,1129.91,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
339a,,,,,,-114.01047051,46.67524045,1131.554,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
340a,,,,,,-114.01039797,46.67523855,1132.486,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
341a,,,,,,-114.01104807,46.67530555,1125.321,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
342a,,,,,,-114.01097553,46.67530365,1125.925,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
344a,,,,,,-114.01083045,46.67529986,1127.649,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
345a,,,,,,-114.01075791,46.67529796,1128.28,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
346a,,,,,,-114.01068537,46.67529607,1129.081,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
348a,,,,,,-114.01054029,46.67529227,1130.716,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
349a,,,,,,-114.01046775,46.67529038,1131.522,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
350a,,,,,,-114.01039521,46.67528848,1132.353,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
351a,,,,,,-114.01104531,46.67535548,1125.184,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
352a,,,,,,-114.01097277,46.67535358,1126.062,Global,,,,,,m,,,,,,,,,,,,,,,Global CS,,,,,
