Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Zone,Period
56,,,,,1.0,-114.00797736,46.67829472,1182.161,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:25:00.6 UTC-06:00,2024-04-25 12:25:00.6 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,823.091,,Global CS,,,,,,1.0,1
57,,,,,1.0,-114.00796978,46.67826082,1181.317,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:25:24.2 UTC-06:00,2024-04-25 12:25:24.2 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,821.127,,Global CS,,,,,,1.0,1
58,,,,,1.0,-114.00806656,46.67829949,1181.695,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:26:14.0 UTC-06:00,2024-04-25 12:26:14.0 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,818.07,,Global CS,,,,,,1.0,1
59,,,,,1.0,-114.00821959,46.67833075,1180.652,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:26:49.4 UTC-06:00,2024-04-25 12:26:49.4 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,811.115,,Global CS,,,,,,1.0,1
60,,,,,2.0,-114.00812224,46.67828043,1180.683,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:27:05.2 UTC-06:00,2024-04-25 12:27:05.2 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,813.341,,Global CS,,,,,,1.0,1
61,,,,,1.0,-114.00819941,46.6782817,1179.838,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:27:16.8 UTC-06:00,2024-04-25 12:27:16.8 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,808.777,,Global CS,,,,,,1.0,1
62,,,,,2.0,-114.008198,46.6782627,1179.431,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:27:26.0 UTC-06:00,2024-04-25 12:27:26.0 UTC-06:00,1.0,1.4,,,,,-114.01634707,46.67371447,1095.54,807.493,,Global CS,,,,,,1.0,1
63,,,,,2.0,-114.00822722,46.67826651,1179.226,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:27:34.8 UTC-06:00,2024-04-25 12:27:34.8 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,806.011,,Global CS,,,,,,1.0,1
64,,,,,3.0,-114.00823252,46.67825112,1178.809,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:27:47.0 UTC-06:00,2024-04-25 12:27:47.0 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,804.579,,Global CS,,,,,,1.0,1
65,,,,,2.0,-114.00817171,46.67823057,1179.007,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:28:00.4 UTC-06:00,2024-04-25 12:28:00.4 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,806.774,,Global CS,,,,,,1.0,1
66,,,,,1.0,-114.00812305,46.67823482,1179.643,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:28:43.4 UTC-06:00,2024-04-25 12:28:43.4 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,810.026,,Global CS,,,,,,1.0,1
67,,,,,1.0,-114.00811128,46.67822211,1179.404,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:28:52.4 UTC-06:00,2024-04-25 12:28:52.4 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,809.826,,Global CS,,,,,,1.0,1
68,,,,,1.0,-114.00809812,46.67821206,1179.254,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:29:01.8 UTC-06:00,2024-04-25 12:29:01.8 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,809.903,,Global CS,,,,,,1.0,1
69,,,,,3.0,-114.00808479,46.67819533,1178.852,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:29:26.4 UTC-06:00,2024-04-25 12:29:26.4 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,809.51,,Global CS,,,,,,1.0,1
70,,,,,1.0,-114.00804221,46.67819144,1178.961,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:29:57.8 UTC-06:00,2024-04-25 12:29:57.8 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,811.804,,Global CS,,,,,,1.0,1
71,,,,,2.0,-114.008045,46.67817387,1178.445,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:30:08.4 UTC-06:00,2024-04-25 12:30:08.4 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,810.386,,Global CS,,,,,,1.0,1
72,,,,,1.0,-114.00801158,46.67818713,1178.993,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:30:22.4 UTC-06:00,2024-04-25 12:30:22.4 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,813.351,,Global CS,,,,,,1.0,1
73,,,,,2.0,-114.00796885,46.67818538,1179.15,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:30:34.2 UTC-06:00,2024-04-25 12:30:34.2 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,815.816,,Global CS,,,,,,1.0,1
74,,,,,3.0,-114.00796032,46.67817454,1178.838,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:30:42.6 UTC-06:00,2024-04-25 12:30:42.6 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,815.563,,Global CS,,,,,,1.0,1
75,,,,,3.0,-114.00798657,46.67814708,1177.963,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:30:53.4 UTC-06:00,2024-04-25 12:30:53.4 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,812.035,,Global CS,,,,,,1.0,1
76,,,,,1.0,-114.0080447,46.67815183,1177.882,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:31:05.8 UTC-06:00,2024-04-25 12:31:05.8 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,808.848,,Global CS,,,,,,1.0,1
77,,,,,1.0,-114.00808452,46.67814958,1177.658,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:31:19.2 UTC-06:00,2024-04-25 12:31:19.2 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,806.28,,Global CS,,,,,,1.0,1
78,,,,,1.0,-114.0081787,46.6781601,1177.453,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:31:32.0 UTC-06:00,2024-04-25 12:31:32.0 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,801.339,,Global CS,,,,,,1.0,1
79,,,,,2.0,-114.00812327,46.67812151,1176.828,Global,,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-04-25 12:31:46.2 UTC-06:00,2024-04-25 12:31:46.2 UTC-06:00,1.0,1.3,,,,,-114.01634707,46.67371447,1095.54,801.959,,Global CS,,,,,,1.0,1
